Soil_type,Temperature,Humidity,ph,Rainfall,District,Zone,Crop,Label,Suitability
Reddish Brown Earth,27.5,76.4,5.6,1424,Ampara,Dry,Areca-nut,0,Not Suitable
Loam,27.6,79.7,6.1,1225,Ampara,Dry,Areca-nut,0,Not Suitable
Loamy soils,33.1,78.9,6.6,1592,Ampara,Dry,Areca-nut,0,Not Suitable
Red loam,29.8,61.7,6.3,1466,Ampara,Dry,Areca-nut,0,Not Suitable
Sandy loam,30.2,78.1,6.2,1067,Ampara,Dry,Areca-nut,0,Not Suitable
Red loam,27.1,69.4,5.7,1034,Ampara,Dry,Areca-nut,0,Not Suitable
Loam,27.9,73.0,6.4,1448,Ampara,Dry,Areca-nut,0,Not Suitable
Loam,34.2,67.5,6.8,1171,Ampara,Dry,Areca-nut,0,Not Suitable
Loamy soil,28.7,79.3,7.0,1007,Ampara,Dry,Areca-nut,0,Not Suitable
Red loam,27.3,77.8,7.0,1317,Ampara,Dry,Areca-nut,0,Not Suitable
Loamy soil,27.6,71.1,6.3,1582,Ampara,Dry,Areca-nut,0,Not Suitable
Loamy soils,32.0,73.3,5.3,1173,Anuradhapura,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,31.7,77.8,4.9,927,Anuradhapura,Dry,Tea,0,Not Suitable
Clay loam,34.6,77.6,5.3,1173,Anuradhapura,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,29.2,62.1,5.0,1178,Anuradhapura,Dry,Tea,0,Not Suitable
Sandy regosol,31.7,59.7,5.8,1485,Anuradhapura,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,32.6,69.8,5.6,1086,Anuradhapura,Dry,Tea,0,Not Suitable
Sandy loam,32.5,61.6,5.6,1447,Anuradhapura,Dry,Tea,0,Not Suitable
Red loam,34.6,74.0,5.0,1268,Anuradhapura,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,34.5,77.1,4.5,927,Anuradhapura,Dry,Tea,0,Not Suitable
Sandy regosol,30.0,75.8,4.7,1492,Anuradhapura,Dry,Tea,0,Not Suitable
Loamy soil,31.8,66.4,5.6,1482,Anuradhapura,Dry,Tea,0,Not Suitable
Red loam,33.7,68.3,4.9,1149,Anuradhapura,Dry,Tea,0,Not Suitable
Sandy regosol,27.5,77.0,5.8,1388,Anuradhapura,Dry,Tea,0,Not Suitable
Loamy soils,35.0,70.2,5.7,1361,Anuradhapura,Dry,Tea,0,Not Suitable
Loam,33.8,63.4,4.7,1170,Anuradhapura,Dry,Tea,0,Not Suitable
Clay loam,34.6,71.3,5.4,1037,Anuradhapura,Dry,Tea,0,Not Suitable
Sandy loam,31.9,65.9,5.4,968,Anuradhapura,Dry,Tea,0,Not Suitable
Sandy regosol,31.2,75.0,5.6,1212,Anuradhapura,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,31.4,70.3,5.0,1426,Anuradhapura,Dry,Tea,0,Not Suitable
Loam,28.1,58.6,5.3,1353,Anuradhapura,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,32.6,62.7,4.5,982,Anuradhapura,Dry,Tea,0,Not Suitable
Red loam,29.8,71.0,5.1,1135,Anuradhapura,Dry,Tea,0,Not Suitable
Sandy regosol,34.2,65.7,5.5,1208,Anuradhapura,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,30.2,71.7,5.7,1417,Anuradhapura,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,28.2,78.4,4.8,1195,Anuradhapura,Dry,Tea,0,Not Suitable
Reddish Brown Earth,30.7,79.6,4.9,1196,Anuradhapura,Dry,Tea,0,Not Suitable
Loam,32.1,63.3,4.7,946,Anuradhapura,Dry,Tea,0,Not Suitable
Loamy soil,28.0,61.3,5.3,983,Anuradhapura,Dry,Tea,0,Not Suitable
Loam,28.5,65.6,5.1,1438,Anuradhapura,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,32.3,61.8,4.6,1015,Anuradhapura,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,28.4,64.1,5.0,1006,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy regosol,28.0,68.1,5.6,1024,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy loam,31.0,73.2,6.6,924,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy regosol,32.0,59.8,6.8,1424,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Loam,27.5,64.1,6.4,1384,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,28.5,62.6,5.9,1122,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy loam,31.9,66.1,6.4,1178,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy loam,27.3,63.6,6.8,1328,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Loam,31.1,69.7,5.8,964,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,31.3,63.3,5.6,1062,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,27.2,65.1,5.5,1027,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Loam,28.0,77.6,6.3,1256,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Red loam,33.3,69.0,6.0,952,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy loam,31.7,74.4,5.1,1159,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Red loam,29.3,66.0,6.1,1288,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy regosol,29.8,79.7,5.3,1263,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy loam,27.8,61.4,5.2,1048,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy loam,28.5,64.3,6.8,1004,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,27.6,69.5,7.0,1146,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,27.9,66.8,6.7,1482,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,33.5,63.7,6.3,1003,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy loam,34.4,70.2,5.4,1243,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,33.2,62.1,5.7,1094,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy regosol,31.1,63.3,6.1,969,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,29.3,70.8,5.9,993,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Red loam,31.3,59.1,5.1,1102,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Red loam,27.5,79.8,6.6,1093,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,29.0,73.0,6.1,1356,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,30.8,67.1,6.8,1109,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Sandy regosol,33.6,79.2,6.4,975,Anuradhapura,Dry,Cinnamon,0,Not Suitable
Loam,34.5,62.0,6.5,940,Anuradhapura,Dry,Pepper,0,Not Suitable
Sandy regosol,31.6,76.5,6.5,984,Anuradhapura,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,28.6,61.6,6.6,999,Anuradhapura,Dry,Pepper,0,Not Suitable
Loamy soil,32.3,69.5,6.6,1115,Anuradhapura,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,30.1,76.0,6.0,1163,Anuradhapura,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,30.7,64.6,6.2,1349,Anuradhapura,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,28.9,77.8,6.2,1130,Anuradhapura,Dry,Pepper,0,Not Suitable
Sandy regosol,34.3,71.7,6.7,970,Anuradhapura,Dry,Pepper,0,Not Suitable
Loamy soil,32.0,65.4,6.5,984,Anuradhapura,Dry,Pepper,0,Not Suitable
Clay loam,32.0,69.7,6.5,1436,Anuradhapura,Dry,Pepper,0,Not Suitable
Sandy Clay loam,28.2,64.9,6.5,1049,Anuradhapura,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,27.3,70.5,6.6,1357,Anuradhapura,Dry,Pepper,0,Not Suitable
Sandy Clay loam,29.7,76.1,6.6,966,Anuradhapura,Dry,Pepper,0,Not Suitable
Red loam,28.0,66.7,5.7,1378,Anuradhapura,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,28.8,73.9,6.3,1332,Anuradhapura,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,32.6,69.9,5.9,1051,Anuradhapura,Dry,Pepper,0,Not Suitable
Red loam,28.5,78.0,6.0,1250,Anuradhapura,Dry,Pepper,0,Not Suitable
Clay loam,30.7,78.8,6.3,992,Anuradhapura,Dry,Pepper,0,Not Suitable
Sandy loam,31.0,71.5,6.6,911,Anuradhapura,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,34.5,70.4,6.7,1318,Anuradhapura,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,32.7,61.4,6.3,1246,Anuradhapura,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,30.4,74.2,6.7,1461,Anuradhapura,Dry,Pepper,0,Not Suitable
Sandy loam,30.6,60.5,6.6,1491,Anuradhapura,Dry,Pepper,0,Not Suitable
Red loam,28.0,78.3,6.2,1422,Anuradhapura,Dry,Pepper,0,Not Suitable
Sandy loam,31.7,66.8,5.9,933,Anuradhapura,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,33.4,58.1,6.0,1100,Anuradhapura,Dry,Pepper,0,Not Suitable
Red loam,31.3,78.2,6.0,1108,Anuradhapura,Dry,Pepper,0,Not Suitable
Sandy loam,32.9,67.9,6.1,1035,Anuradhapura,Dry,Pepper,0,Not Suitable
Clay loam,28.1,61.9,6.0,1199,Anuradhapura,Dry,Pepper,0,Not Suitable
Red loam,34.3,66.0,6.3,1248,Anuradhapura,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,27.1,72.6,6.9,1007,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Sandy regosol,28.2,67.1,7.0,951,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loamy soils,31.0,71.1,6.6,940,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Reddish Brown Earth,28.7,77.8,5.8,1023,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loam,27.3,68.4,5.6,1239,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loamy soils,33.2,68.0,6.2,1215,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Reddish Brown Earth,30.2,70.3,5.8,993,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loamy soils,33.9,78.8,5.9,1124,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loamy soil,32.2,67.0,5.7,915,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Reddish Brown Earth,32.7,72.5,5.8,916,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Red loam,28.8,72.8,5.7,912,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Red loam,33.4,61.9,5.9,1292,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loamy soil,27.8,63.3,6.8,1333,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Clay loam,33.6,66.7,5.8,1301,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loamy soil,29.3,77.7,5.6,908,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loamy soil,28.7,58.6,6.4,1009,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loamy soils,30.4,77.6,6.0,1390,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Sandy loam,29.1,66.4,5.9,1254,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Red loam,32.0,67.0,6.2,1231,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Sandy loam,29.4,78.9,5.7,1358,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loamy soil,33.9,68.7,6.7,1437,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Clay loam,30.4,58.5,6.3,1061,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Red loam,32.1,63.7,6.8,984,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Reddish Brown Earth,34.9,69.6,5.9,1003,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Reddish Brown Earth,27.1,78.1,6.4,971,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Reddish Brown Earth,29.2,70.2,6.7,1291,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loamy soils,28.7,58.2,6.9,982,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loam,34.0,71.1,6.5,1260,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loamy soil,28.4,78.1,6.1,1151,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loam,31.2,59.0,6.6,1000,Anuradhapura,Dry,Areca-nut,0,Not Suitable
Loamy soil,14.9,84.1,5.0,1770,Badulla,Hill,Tea,1,Suitable
Red-Yellow Podzolic soils,17.2,79.1,4.9,2291,Badulla,Hill,Tea,1,Suitable
Clay loam,20.2,81.5,5.7,2230,Badulla,Hill,Tea,1,Suitable
Loam,22.1,76.3,4.8,1534,Badulla,Hill,Tea,1,Suitable
Red-Yellow Podzolic soils,20.5,73.0,5.3,2046,Badulla,Hill,Tea,1,Suitable
Loamy soils,17.7,87.4,4.6,1617,Badulla,Hill,Tea,1,Suitable
Loam,22.0,81.9,5.1,2257,Badulla,Hill,Tea,1,Suitable
Loam,16.7,88.4,5.4,2379,Badulla,Hill,Tea,1,Suitable
Red-Yellow Latosols,17.0,83.8,4.6,1897,Badulla,Hill,Tea,1,Suitable
Loamy soils,24.1,74.7,5.1,2545,Badulla,Hill,Tea,1,Suitable
Loam,16.0,82.8,5.5,2460,Badulla,Hill,Tea,1,Suitable
Loam,22.9,85.2,5.6,2262,Badulla,Hill,Tea,1,Suitable
Clay loam,16.7,81.8,5.8,1743,Badulla,Hill,Tea,1,Suitable
Clay loam,24.4,72.8,5.7,2276,Badulla,Hill,Tea,1,Suitable
Red-Yellow Podzolic soils,16.0,83.4,4.5,2507,Badulla,Hill,Tea,1,Suitable
Red-Yellow Podzolic soils,21.7,77.9,5.8,2517,Badulla,Hill,Tea,1,Suitable
Red-Yellow Podzolic soils,24.4,81.5,5.6,2448,Badulla,Hill,Tea,1,Suitable
Clay loam,17.5,88.6,5.3,1541,Badulla,Hill,Tea,1,Suitable
Red-Yellow Podzolic soils,16.5,74.4,5.4,1585,Badulla,Hill,Tea,1,Suitable
Loam,17.7,86.5,4.9,1572,Badulla,Hill,Tea,1,Suitable
Clay loam,19.9,87.8,5.3,1851,Badulla,Hill,Tea,1,Suitable
Red-Yellow Podzolic soils,23.7,84.3,4.5,1756,Badulla,Hill,Tea,1,Suitable
Loam,23.6,72.4,5.2,2462,Badulla,Hill,Tea,1,Suitable
Red-Yellow Podzolic soils,24.3,88.0,5.0,2598,Badulla,Hill,Tea,1,Suitable
Loamy soil,22.4,80.0,5.3,2028,Badulla,Hill,Tea,1,Suitable
Red-Yellow Podzolic soils,23.6,91.7,5.0,2345,Badulla,Hill,Tea,1,Suitable
Loamy soil,18.6,86.8,4.6,1763,Badulla,Hill,Tea,1,Suitable
Red-Yellow Podzolic soils,17.9,77.7,4.8,1826,Badulla,Hill,Tea,1,Suitable
Red-Yellow Latosols,14.5,72.4,5.1,2586,Badulla,Hill,Tea,1,Suitable
Red-Yellow Latosols,18.2,85.6,5.7,1740,Badulla,Hill,Tea,1,Suitable
Red-Yellow Latosols,22.6,73.8,6.7,1959,Badulla,Hill,Cinnamon,0,Not Suitable
Loamy soil,24.4,81.3,5.2,2175,Badulla,Hill,Cinnamon,0,Not Suitable
Red-Yellow Podzolic soils,24.9,76.6,6.2,2537,Badulla,Hill,Cinnamon,0,Not Suitable
Sandy loam,20.7,82.3,5.2,1754,Badulla,Hill,Cinnamon,0,Not Suitable
Red-Yellow Podzolic soils,16.4,75.7,5.6,2358,Badulla,Hill,Cinnamon,0,Not Suitable
Loam,14.6,91.4,6.8,2472,Badulla,Hill,Cinnamon,0,Not Suitable
Loam,24.9,75.5,6.5,1936,Badulla,Hill,Cinnamon,0,Not Suitable
Red loam,21.7,75.1,5.3,2397,Badulla,Hill,Cinnamon,0,Not Suitable
Loam,16.5,82.7,6.1,2152,Badulla,Hill,Cinnamon,0,Not Suitable
Loam,15.0,89.5,5.1,1792,Badulla,Hill,Cinnamon,0,Not Suitable
Red-Yellow Latosols,23.8,91.1,6.6,2448,Badulla,Hill,Cinnamon,0,Not Suitable
Loamy soil,21.2,83.0,5.7,1596,Badulla,Hill,Cinnamon,0,Not Suitable
Loam,18.1,77.2,5.9,2296,Badulla,Hill,Cinnamon,0,Not Suitable
Clay loam,14.9,76.4,5.0,2252,Badulla,Hill,Cinnamon,0,Not Suitable
Loamy soil,23.4,81.9,6.1,2029,Badulla,Hill,Cinnamon,0,Not Suitable
Clay loam,23.1,79.0,6.0,2246,Badulla,Hill,Cinnamon,0,Not Suitable
Clay loam,16.9,89.6,6.2,2377,Badulla,Hill,Cinnamon,0,Not Suitable
Red-Yellow Podzolic soils,23.4,89.3,6.6,2279,Badulla,Hill,Cinnamon,0,Not Suitable
Sandy Clay loam,21.7,85.6,6.5,2180,Badulla,Hill,Cinnamon,0,Not Suitable
Clay loam,15.7,89.6,4.9,2459,Badulla,Hill,Cinnamon,0,Not Suitable
Red-Yellow Podzolic soils,23.1,74.6,6.4,1869,Badulla,Hill,Cinnamon,0,Not Suitable
